E_COLI,COLI_FEC,pH_CAMPO,TEMP_AGUA,COT,DBO_TOT,DQO_TOT,N_TOT,P_TOT,COLOR_VER,TRANSPARENCIA,ABS_UV,SST,TURBIEDAD,AS_TOT,HG_TOT,PB_TOT,DUR_TOT,CONDUC_CAMPO,OD_.,SEMAFORO
1,1,7.833333333,27,1,1,1,1,1,75,0.25,0.39855,1,25,1,1,1,26.1,55.33333333,49.46666667,0
0,0,6.666666667,24,1,1,1,1,1,100,0.45,0.35963,1,20,1,1,1,20,595,51.56666667,0
1,1,7.183333333,27,1,1,1,1,1,100,0.45,0.39855,1,19,1,1,1,29.85,57.66666667,51.83333333,0
1,1,6,18,1,1,0,1,1,5,0.93,0.34814,1,12.1,1,1,1,36.14,140,74.53333333,1
1,0,8.923333333,25,1,1,0,1,1,7.5,0.29,0.009,1,22,1,1,1,102.9392,437,87.73333333,1
1,1,8.933333333,25,1,1,0,1,1,60,0.2,0.009,1,35,1,1,1,142.2144,158.3333333,84.26666667,1
0,0,8.766666667,25,1,1,0,1,1,62.5,0.35,0.168,1,26,1,0,1,102.949,423.3333333,87.73333333,1
0,0,8.766666667,25,1,1,0,1,1,7.5,0.2,0.173,1,39,1,1,1,138,423.3333333,58.33333333,1
1,1,9.833333333,25,1,1,0,1,1,30,0.2,0.168,1,15,1,1,1,102,338.3333333,87.1,1
0,0,8.766666667,25,1,0,0,1,1,30,0.1,0.152,1,76,1,0,1,143.62,423.3333333,73.96666667,1
1,1,8.766666667,25,1,0,0,1,1,75,0.1,0.26,1,100,1,0,1,87.66,208,73.96666667,1
0,0,8.766666667,25,1,0,0,1,1,200,0.3,0.27117,1,23,1,1,1,171.09,423.3333333,58.33333333,1
1,0,8.766666667,25,1,1,0,1,1,40,0.3,0.1664,1,30,1,1,1,103.19,338.3333333,87.73333333,1
1,1,8.5,25,1,1,0,1,1,75,0.38,0.4806,1,28,1,1,1,107.88,158.3333333,86.2,1
1,1,8.933333333,25,1,1,0,1,1,30,0.16,0.15493,1,55,1,1,1,87.87,158.3333333,96.63333333,1
0,0,8.766666667,25,0,0,0,0,1,130,0.25,0.08715,1,110,1,1,1,162.91,600,58.33333333,1
0,0,8.766666667,25,1,1,0,1,1,60,0.25,0.17181,1,50,1,1,1,103.21,423.3333333,58.33333333,1
0,0,8.766666667,25,0,0,0,1,1,130,0.15,0.18643,1,130,1,1,1,126.59,600,58.33333333,1
0,0,8.766666667,29,0,0,0,1,1,1250,0.15,0.78584,0,180,1,1,1,154.59,600,53.9,1
0,0,7.866666667,24,1,1,1,1,1,30,0.15,0.17556,1,17,1,1,1,75.32,595,74.7,0
0,0,8.766666667,25,0,0,0,1,1,250,0.075,0.18643,1,25,1,1,1,135.31,423.3333333,58.33333333,1
1,1,8.23,24,1,1,1,1,1,25,0.57,0.009,1,10,1,1,1,109.2416,478.6666667,39.66666667,0
0,0,8.766666667,25,1,1,0,1,1,25,0.3,0.009,1,12.5,1,1,1,128.388,734.3333333,67.76666667,1
0,0,8.766666667,25,1,1,0,1,1,50,0.5,0.214,1,15,1,0,1,92.444,370.3333333,87.73333333,1
0,0,8.766666667,25,1,1,0,1,1,40,0.4,0.206,1,7.2,1,1,1,190,682.5,67.76666667,1
1,0,8.766666667,25,1,1,0,1,1,50,0.3,0.201,1,23,1,0,1,87,299,87.73333333,1
0,0,8.766666667,25,1,0,0,1,1,50,0.3,0.213,1,13,1,1,1,128.38,423.3333333,67.76666667,1
1,0,8.766666667,25,1,0,0,1,1,75,0.1,0.176,0,145,1,0,1,87.66,299,87.73333333,1
0,0,8.766666667,25,1,1,0,1,1,50,0.3,0.18275,1,16,1,1,1,131.44,423.3333333,67.76666667,1
