TIPO CUERPO DE AGUA,TOX_V_15_UT (NORMAL),E_COLI,COLI_FEC,pH_CAMPO,TEMP_AGUA,COT,DBO_TOT,DQO_TOT,N_TOT,P_TOT,COLOR_VER,ABS_UV,SST,TURBIEDAD,AS_TOT,HG_TOT,PB_TOT,DUR_TOT,CONDUC_CAMPO,OD_%
LÓTICO,0,0,0,7.6,15.8,0,0,0,0,0,500,0.148,0,265,1,0,1,379.7,2680,16.2
LÓTICO,1,0,0,7.8,17.3,0,0,0,0,1,312.5,1.898,1,300,1,0,1,419.5,2570,17.5
LÓTICO,1,0,0,7.4,20.8,0,0,0,0,1,625,0.604,1,127.5,0,0,1,288.1,1781,13.6
LÓTICO,1,0,0,7.4,19.3,1,0,0,1,1,312.5,3.978,0,137.5,0,1,1,63.6,228,80.5
LÓTICO,1,0,0,7.9,21.6,0,1,0,1,1,375,0.767,1,16,1,0,1,101.4,659,22
LÓTICO,0,0,0,7.7,16.9,0,1,0,0,0,625,0.15,1,75,1,1,1,100.1,1695,12.6
LÓTICO,1,0,0,7.8,17.8,0,0,0,0,1,375,1.425,0,75,1,0,1,241.1,1613,10
LÓTICO,1,0,0,7.8,21.5,0,0,0,0,1,1000,1.901,1,20,1,1,1,250.03,1720,10
LÓTICO,1,0,0,7.8,22.3,0,0,0,0,1,750,0.838,1,85,1,1,1,262.37,1298,10
LÓTICO,1,0,0,7.2,18.9,0,0,0,0,0,1000,1.26194,1,31,1,0,1,319.77,2020,10
LÓTICO,0,0,0,8,19.8,0,0,0,0,0,650,1.41281,1,95,0,1,1,316.5,2121,10
LÓTICO,0,0,0,7.1,11.7,0,0,0,0,0,400,2.60932,0,64,1,1,1,1281.19,1668,12.2
LÓTICO,1,0,0,7.1,18.5,,,0,0,0,400,1.53641,0,58,1,1,1,363.26,2430,17.6
LÓTICO,1,0,0,7.2,26.9,,,,,,500,,,,0,0,0,1129.57,2750,10
LÓTICO,1,0,0,7,20.8,0,0,0,0,0,250,1.34758,0,275,0,0,1,234.05,1248,10
LÓTICO,1,0,0,7,21.7,0,0,0,0,0,200,1.56045,0,85,0,1,1,288.78,1530,10
LÓTICO,1,0,0,7,21.6,0,0,0,1,1,150,0.62506,1,100,1,1,1,122.11,801,10
